ID Name,Red,Green,Blue,Hexadecimal
LightRedOchre,233,116,81,#e97451
LightSalmon,255,160,122,#ffa07a
LightSalmonPink,255,153,153,#000f99
LightSeaGreen,32,178,170,#20b2aa
LightSkyBlue,135,206,250,#87cefa
LightSlateGray,119,136,153,#000789
LightTaupe,179,139,109,#b38b6d
LightThulianPink,230,143,172,#e68fac
LightYellow,255,255,224,#ffffe0
Lilac,200,162,200,#c8a2c8
LimeColorWheel,191,255,0,#bfff00
LimeGreen,50,205,50,#32cd32
LimeWebX11Green,0,255,0,#0000f0
Limerick,157,194,9,#9dc209
LincolnGreen,25,89,5,#195905
Linen,250,240,230,#faf0e6
Lion,193,154,107,#c19a6b
LittleBoyBlue,108,160,220,#6ca0dc
Liver,83,75,79,#534b4f
Lust,230,32,32,#e62020
Magenta,255,0,255,#000f0f
MagentaDye,202,31,123,#ca1f7b
MagentaProcess,255,0,144,#ff0090
MagicMint,170,240,209,#aaf0d1
Magnolia,248,244,255,#f8f4ff
Mahogany,192,64,0,#c04000
Maize,251,236,93,#fbec5d
MajorelleBlue,96,80,220,#6050dc
Malachite,11,218,81,#0bda51
Manatee,151,154,170,#979aaa
MangoTango,255,130,67,#ff8243
Mantis,116,195,101,#74c365
MardiGras,136,0,133,#880085
MaroonCrayola,195,33,72,#c32148
MaroonHtmlCss,128,0,0,#800000
MaroonX11,176,48,96,#b03060
Mauve,224,176,255,#e0b0ff
MauveTaupe,145,95,109,#915f6d
Mauvelous,239,152,170,#ef98aa
MayaBlue,115,194,251,#73c2fb
MeatBrown,229,183,59,#e5b73b
MediumAquamarine,102,221,170,#0006da
MediumBlue,0,0,205,#0000cd
MediumCandyAppleRed,226,6,44,#e2062c
MediumCarmine,175,64,53,#af4035
MediumChampagne,243,229,171,#f3e5ab
MediumElectricBlue,3,80,150,#035096
MediumJungleGreen,28,53,45,#1c352d
MediumLavenderMagenta,221,160,221,#dda0dd
MediumOrchid,186,85,211,#ba55d3
MediumPersianBlue,0,103,165,#0067a5
MediumPurple,147,112,219,#9370db
MediumRedViolet,187,51,133,#bb3385
MediumRuby,170,64,105,#aa4069
MediumSeaGreen,60,179,113,#3cb371
MediumSlateBlue,123,104,238,#7b68ee
MediumSpringBud,201,220,135,#c9dc87
MediumSpringGreen,0,250,154,#00fa9a
MediumTaupe,103,76,71,#674c47
MediumTurquoise,72,209,204,#48d1cc
MediumTuscanRed,121,68,59,#79443b
MediumVermilion,217,96,59,#d9603b
MediumVioletRed,199,21,133,#c71585
MellowApricot,248,184,120,#f8b878
MellowYellow,248,222,126,#f8de7e
Melon,253,188,180,#fdbcb4
MidnightBlue,25,25,112,#191970
MidnightGreenEagleGreen,0,73,83,#004953
MikadoYellow,255,196,12,#ffc40c
Mint,62,180,137,#3eb489
MintCream,245,255,250,#f5fffa
MintGreen,152,255,152,#98ff98
MistyRose,255,228,225,#ffe4e1
Moccasin,250,235,215,#faebd7
ModeBeige,150,113,23,#967117
MoonstoneBlue,115,169,194,#73a9c2
MordantRed19,174,12,0,#ae0c00
MossGreen,173,223,173,#addfad
MountainMeadow,48,186,143,#30ba8f
MountbattenPink,153,122,141,#997a8d
MsuGreen,24,69,59,#18453b
Mulberry,197,75,140,#c54b8c
Mustard,255,219,88,#ffdb58
Myrtle,33,66,30,#21421e
NadeshikoPink,246,173,198,#f6adc6
NapierGreen,42,128,0,#2a8000
NaplesYellow,250,218,94,#fada5e
NavajoWhite,255,222,173,#ffdead
NavyBlue,0,0,128,#000080
NeonCarrot,255,163,67,#ffa343
NeonFuchsia,254,65,100,#fe4164
NeonGreen,57,255,20,#39ff14
NewYorkPink,215,131,127,#d7837f
NonPhotoBlue,164,221,237,#a4dded
NorthTexasGreen,5,144,51,#059033
OceanBoatBlue,0,119,190,#0077be
Ochre,204,119,34,#000c72
OfficeGreen,0,128,0,#008000
OldGold,207,181,59,#cfb53b
OldLace,253,245,230,#fdf5e6
OldLavender,121,104,120,#796878
OldMauve,103,49,71,#673147
OldRose,192,128,129,#c08081
Olive,128,128,0,#808000
OliveDrab#7,60,52,31,#3c341f
OliveDrabWebOliveDrab#3,107,142,35,#6b8e23
Olivine,154,185,115,#9ab973
Onyx,53,56,57,#353839
OperaMauve,183,132,167,#b784a7
OrangeColorWheel,255,127,0,#ff7f00
OrangePeel,255,159,0,#ff9f00
OrangeRed,255,69,0,#ff4500
OrangeRyb,251,153,2,#fb9902
OrangeWebColor,255,165,0,#ffa500
Orchid,218,112,214,#da70d6
OtterBrown,101,67,33,#654321
OuCrimsonRed,153,0,0,#000900
OuterSpace,65,74,76,#414a4c
OutrageousOrange,255,110,74,#ff6e4a
OxfordBlue,0,33,71,#002147
PakistanGreen,0,102,0,#000060
PalatinateBlue,39,59,226,#273be2
PalatinatePurple,104,40,96,#682860
PaleAqua,188,212,230,#bcd4e6
PaleBlue,175,238,238,#afeeee
PaleBrown,152,118,84,#987654
PaleCarmine,175,64,53,#af4035
PaleCerulean,155,196,226,#9bc4e2
PaleChestnut,221,173,175,#ddadaf
PaleCopper,218,138,103,#da8a67
PaleCornflowerBlue,171,205,239,#abcdef
PaleGold,230,190,138,#e6be8a
PaleGoldenrod,238,232,170,#eee8aa
PaleGreen,152,251,152,#98fb98
PaleLavender,220,208,255,#dcd0ff
PaleMagenta,249,132,229,#f984e5
PalePink,250,218,221,#fadadd
PalePlum,221,160,221,#dda0dd
PaleRedViolet,219,112,147,#db7093
PaleRobinEggBlue,150,222,209,#96ded1
PaleSilver,201,192,187,#c9c0bb
PaleSpringBud,236,235,189,#ecebbd
PaleTaupe,188,152,126,#bc987e
PaleVioletRed,219,112,147,#db7093
PansyPurple,120,24,74,#78184a
PapayaWhip,255,239,213,#ffefd5
ParisGreen,80,200,120,#50c878
PastelBlue,174,198,207,#aec6cf
PastelBrown,131,105,83,#836953
PastelGray,207,207,196,#cfcfc4
PastelGreen,119,221,119,#0007d7
PastelMagenta,244,154,194,#f49ac2
PastelOrange,255,179,71,#ffb347
PastelPink,222,165,164,#dea5a4
PastelPurple,179,158,181,#b39eb5
PastelRed,255,105,97,#ff6961
PastelViolet,203,153,201,#cb99c9
PastelYellow,253,253,150,#fdfd96
Patriarch,128,0,128,#800080
PayneSGrey,83,104,120,#536878
Peach,255,229,180,#ffe5b4
PeachCrayola,255,203,164,#ffcba4
PeachOrange,255,204,153,#000fc9
PeachPuff,255,218,185,#ffdab9
PeachYellow,250,223,173,#fadfad
Pear,209,226,49,#d1e231
Pearl,234,224,200,#eae0c8
PearlAqua,136,216,192,#88d8c0
PearlyPurple,183,104,162,#b768a2
Peridot,230,226,0,#e6e200
Periwinkle,204,204,255,#000ccf
PersianBlue,28,57,187,#1c39bb
PersianGreen,0,166,147,#00a693
PersianIndigo,50,18,122,#32127a
PersianOrange,217,144,88,#d99058
PersianPink,247,127,190,#f77fbe
PersianPlum,112,28,28,#701c1c
PersianRed,204,51,51,#000c33
PersianRose,254,40,162,#fe28a2
Persimmon,236,88,0,#ec5800
Peru,205,133,63,#cd853f
Phlox,223,0,255,#df00ff
PhthaloBlue,0,15,137,#000f89
PhthaloGreen,18,53,36,#123524
PiggyPink,253,221,230,#fddde6
PineGreen,1,121,111,#01796f
Pink,255,192,203,#ffc0cb
PinkLace,255,221,244,#ffddf4
PinkOrange,255,153,102,#000f96
PinkPearl,231,172,207,#e7accf
PinkSherbet,247,143,167,#f78fa7
Pistachio,147,197,114,#93c572
Platinum,229,228,226,#e5e4e2
PlumTraditional,142,69,133,#8e4585
PlumWeb,221,160,221,#dda0dd
PortlandOrange,255,90,54,#ff5a36
PowderBlueWeb,176,224,230,#b0e0e6
PrincetonOrange,255,143,0,#ff8f00
Prune,112,28,28,#701c1c
PrussianBlue,0,49,83,#003153
PsychedelicPurple,223,0,255,#df00ff
Puce,204,136,153,#000c89
Pumpkin,255,117,24,#ff7518
PurpleHeart,105,53,156,#69359c
